EPS,ROA,ROE,SN,Banks,Net_Income,Total_Asset,Total_Capital,Paid_up_Capital,Profit_before_tax,Net_Income_in_USD,Total_Asset_in_USD,Total_Capital_in_USD,Paid_up_Capital_in_USD,Profit_for_the_year_000,Profit_before_tax_in_USD,Profit_for_the_year_in_USD
39%,2%,20%,1,Bank of Abyssinia,"3,869,598,000","189,512,265,000","19,475,297,000","11,898,416,000","5,230,026,000","68,893,284","3,374,025,513","346,732,962","211,836,206","3,872,832,000","93,113,979","68,950,862"
43%,4%,22%,2,Zemen Bank,"1,907,187,000","47,784,520,000","8,480,047,000","5,000,000,000","2,501,041,000","33,955,046","850,742,772","150,976,481","89,018,658","1,813,114,000","44,527,863","32,280,195"
51%,3%,27%,3,Hibret Bank,"2,509,188,000","82,583,019,000","9,372,202,000","4,783,111,000","3,059,479,000","44,672,910","1,470,285,910","166,860,169","85,157,225",0,"54,470,143",0
36%,3%,21%,4,Abay Bank,"1,614,022,000","55,057,154,000","7,559,869,000","4,733,303,000","2,124,416,000","28,735,615","980,222,796","134,593,879","84,270,456","1,551,471,000","37,822,532","27,621,973"
30%,2%,18%,5,COOP Bank,"2,603,651,000","140,326,367,000","14,873,949,000","10,016,082,000","3,388,598,000","46,354,704","2,498,332,983","264,811,797","178,323,636","2,604,169,000","60,329,690","46,363,926"
28%,2%,18%,6,NIB Bank,"1,579,215,000","77,020,751,000","8,879,490,000","6,001,221,000","1,973,512,000","28,115,920","1,371,256,783","158,088,057","106,844,128",0,"35,135,878",0
-3%,-1%,-2%,7,Amhara Bank,"-145,611,000","28,433,113,000","5,878,948,000","5,842,230,000","-170,058,000","-2,592,419","506,215,514","104,667,213","104,013,495","-170,058,000","-3,027,667","-3,027,667"
58%,3%,25%,8,Awash Bank,"7,056,214,000","224,024,114,000","27,968,329,000","14,649,656,000","9,750,514,000","125,626,941","3,988,465,212","497,940,625","260,818,544","6,993,561,000","173,595,535","124,511,483"
32%,3%,19%,9,Oromia Bank,"1,679,384,000","65,413,272,000","8,658,322,000","5,371,537,000","1,997,094,000","29,899,302","1,164,600,342","154,150,442","95,633,403","1,579,621,000","35,555,726","28,123,148"
24%,2%,16%,10,Bunna Bank,"1,041,830,000","46,395,269,000","6,512,695,000","4,276,975,000","1,359,316,000","18,548,462","826,008,920","115,950,274","76,146,115","949,209,000","24,200,897","16,899,462"
23%,2%,12%,11,Wogagen Bank,"823,823,000","53,485,867,000","6,906,527,000","3,982,139,000","1,194,107,000","14,667,124","952,248,024","122,961,953","70,896,934","823,823,000","21,259,561","14,667,124"
44%,2%,19%,12,Dashen Bank,"3,611,320,000","144,764,349,000","19,318,541,000","9,344,559,000","5,016,753,000","64,294,972","2,577,345,624","343,942,120","166,368,021","3,561,087,000","89,316,924","63,400,637"
-17%,-6%,-38%,14,Ahadu Bank,"-185,168,000","3,096,483,000","489,294,000","672,626,000","-267,591,000","-3,296,681","55,128,952","8,711,259","11,975,253",0,"-4,764,118",0
1%,0%,0%,15,Goh Betoch Bank,"5,061,000","2,625,834,000","1,545,244,000","1,320,680,000","6,380,000","90,105","46,749,644","27,511,110","23,513,032",0,"113,588",0
0%,0%,2%,16,ZamZam Bank,"-1,171,000","6,882,312,000","1,568,677,000","1,699,137,000","-55,581,000","-20,848","122,530,836","27,928,304","30,250,979","-1,225,000","-989,549","-21,810"
29%,3%,19%,17,Global Bank,"555,708,000","18,853,992,000","2,953,326,000","2,032,523,000","696,146,000","9,893,676","335,671,414","52,580,224","36,186,494","523,061,000","12,393,997","9,312,438"
13%,2%,11%,18,Addis International,"293,368,000","12,604,396,000","2,582,057,000","1,825,361,000","306,756,000","5,223,045","224,405,284","45,970,250","32,498,237","223,475,000","5,461,402","3,978,689"
1%,1%,11%,19,Anbessa Bank,"463,662,000","35,584,786,000","4,353,459,000","2,629,888,000","747,102,000","8,254,914","633,541,981","77,507,816","46,821,820",0,"13,301,204",0
0%,0%,0%,20,Birhan Bank,0,"45,045,221,000","5,029,444,000","3,350,433,000","605,235,000",0,"801,973,027","89,542,871","59,650,210",0,"10,775,442",0
4%,1%,5%,21,Sinqee Bank,"383,262,000","34,671,097,000","8,479,491,000","7,777,406,000","365,468,000","6,823,494","617,274,907","150,966,582","138,466,849","284,799,000","6,506,694","5,070,485"
